id,common_name,scientific_name,description
165,Bonnet Macaque,Macaca radiata,"During a routine survey, a group of monkeys with tufted heads was recorded along the edge of a dense forest just before sunset. The observer watched quietly from behind a tree for several minutes. The sighting took place during the dry season."
166,Bonnet Macaque,Macaca radiata,"A Bonnet Macaque was spotted near a shallow stream in the late afternoon light, under a hazy monsoon sky. It was seen from a safe distance of roughly fifty meters."
167,Bonnet Macaque,Macaca radiata,"A Bonnet Macaque was observed near an irrigation tank around midday, on a clear, sunny day. The animal passed within a few meters of the parked vehicle."
168,Bonnet Macaque,Macaca radiata,"The Bonnet Macaque appeared close to a lakeside reed bed, chasing one another playfully across a rooftop. It was noticed only briefly before vanishing into cover."
169,Bonnet Macaque,Macaca radiata,"During a routine survey, an adult Bonnet Macaque was recorded along a narrow forest track just after sunrise. The observer watched quietly from behind a tree for several minutes."
170,Bonnet Macaque,Macaca radiata,"A troop of small monkeys was observed beside a dirt road through farmland at dusk as shadows lengthened, on a warm, humid afternoon. It was noticed only briefly before vanishing into cover. The sighting took place at the start of the monsoon."
171,Indian Cobra,Naja naja,"An Indian Cobra appeared near a seasonal waterhole, lying coiled near a pile of rocks. It was noticed only briefly before vanishing into cover. The sighting took place in the middle of winter."
172,Indian Cobra,Naja naja,"An adult Indian Cobra was observed along the perimeter fence of a nature reserve just before sunset, on a misty morning. It was noticed only briefly before vanishing into cover."
173,Indian Cobra,Naja naja,"A dark patterned snake was spotted beside a bamboo thicket just before sunset, under overcast skies. The observer watched quietly from behind a tree for several minutes."
174,Indian Cobra,Naja naja,"A solitary Indian Cobra was seen found near a woodpile close to a farmhouse beside a bamboo thicket, on a dry, dusty afternoon. The animal passed within a few meters of the parked vehicle."
175,Indian Cobra,Naja naja,"A dark patterned snake was seen gliding into a crevice between rocks near a canal running through fields, under a hazy monsoon sky. The animal passed within a few meters of the parked vehicle. The sighting took place in the middle of winter."
176,Indian Cobra,Naja naja,"A lone Indian Cobra was spotted near a seasonal waterhole in the cool hours before dawn, on a clear, sunny day. The sighting took place in the middle of winter."
177,Indian Cobra,Naja naja,"A lone Indian Cobra appeared at the base of a rocky outcrop, gliding slowly across a footpath before vanishing into grass. The observer watched quietly from behind a tree for several minutes."
178,Indian Cobra,Naja naja,"Local residents reported the Indian Cobra found near a woodpile close to a farmhouse along the edge of a dense forest during the heat of midday, on a clear, sunny day. The sighting occurred at close range, barely ten meters away."
179,Indian Cobra,Naja naja,"A venomous snake with a raised hood was spotted on the fringes of a wetland well after nightfall, on a clear, sunny day. The sighting occurred at close range, barely ten meters away."
180,Indian Cobra,Naja naja,"A citizen-science volunteer photographed a lone Indian Cobra on a plateau covered in scrub vegetation, on a clear, sunny day. It was noticed only briefly before vanishing into cover."
181,Indian Rock Python,Python molurus,"A lone Indian Rock Python was spotted near a temple compound surrounded by trees just before sunset, on a dry, dusty afternoon. The animal passed within a few meters of the parked vehicle. The sighting took place in early spring."
182,Indian Rock Python,Python molurus,"A citizen-science volunteer photographed the Indian Rock Python beside a dirt road through farmland, during a light drizzle. It was noticed only briefly before vanishing into cover."
183,Indian Rock Python,Python molurus,"Local residents reported a heavily patterned constrictor found resting near the entrance of a burrow along a narrow forest track just before sunset, after a brief spell of rain. It was noticed only briefly before vanishing into cover. The sighting took place as summer temperatures rose."
184,Indian Rock Python,Python molurus,"The Indian Rock Python appeared close to a paddy field, discovered coiled beneath a fallen log. It was noticed only briefly before vanishing into cover. The sighting took place during the post-monsoon months."
185,Indian Rock Python,Python molurus,An Indian Rock Python was briefly sighted beside a dirt road through farmland before found near a woodpile close to a farmhouse. The observer watched quietly from behind a tree for several minutes.
186,Indian Rock Python,Python molurus,"An adult Indian Rock Python appeared beside a dirt road through farmland, found near a woodpile close to a farmhouse. The sighting took place in early spring."
187,Indian Rock Python,Python molurus,"An adult Indian Rock Python was seen found resting near the entrance of a burrow near an irrigation tank, during a light drizzle. The animal was spotted around thirty meters from the observer."
188,Indian Rock Python,Python molurus,"A heavily patterned constrictor appeared close to a paddy field, discovered coiled beneath a fallen log. It was observed through binoculars from a considerable distance."
189,Indian Rock Python,Python molurus,"During a routine survey, a thick-bodied snake was recorded along a rocky hillside trail in the late afternoon light. The sighting occurred at close range, barely ten meters away."
190,Indian Rock Python,Python molurus,"Field observers logged an Indian Rock Python gliding into a crevice between rocks near a cluster of banyan trees during the heat of midday. The sighting occurred at close range, barely ten meters away."
191,Bengal Monitor,Varanus bengalensis,"The Bengal Monitor appeared near a temple compound surrounded by trees, basking motionless on a warm rock. The sighting took place in early spring."
192,Bengal Monitor,Varanus bengalensis,A long-tailed monitor lizard was observed along the perimeter fence of a nature reserve in the late afternoon light. The sighting took place during the dry season.
193,Bengal Monitor,Varanus bengalensis,"A citizen-science volunteer photographed a long-tailed monitor lizard along the perimeter fence of a nature reserve, on a warm, humid afternoon. The sighting occurred at close range, barely ten meters away."
194,Bengal Monitor,Varanus bengalensis,"Local residents reported a lone Bengal Monitor moving along a low stone wall near farmland close to a forest checkpoint during the heat of midday, on a cool, breezy evening. It was seen from a safe distance of roughly fifty meters. The sighting took place in the middle of winter."
195,Bengal Monitor,Varanus bengalensis,"Field observers logged a lone Bengal Monitor moving with a slow, deliberate gait along a stream bank on a plateau covered in scrub vegetation in the late afternoon light. The animal passed within a few meters of the parked vehicle. The sighting took place during the post-monsoon months."
196,Bengal Monitor,Varanus bengalensis,"The Bengal Monitor was spotted beside a bamboo thicket as the evening light faded, on a cool, breezy evening. The sighting took place as summer temperatures rose."
197,Bengal Monitor,Varanus bengalensis,"Local residents reported a lone Bengal Monitor seen crossing an open field with a slow, swaying walk along the perimeter fence of a nature reserve just after sunrise, under overcast skies."
198,Bengal Monitor,Varanus bengalensis,"A large lizard was observed near a shallow stream just before sunset, on a dry, dusty afternoon. The animal passed within a few meters of the parked vehicle."
199,Bengal Monitor,Varanus bengalensis,"A solitary Bengal Monitor was observed close to a paddy field just before sunset, on a cool, breezy evening. The animal was spotted around thirty meters from the observer."
200,Bengal Monitor,Varanus bengalensis,"The Bengal Monitor appeared on the fringes of a wetland, seen crossing an open field with a slow, swaying walk."
201,Indian Star Tortoise,Geochelone elegans,"The Indian Star Tortoise was observed at the edge of a grassland clearing as the evening light faded, as fog still clung to the ground. The animal was spotted around thirty meters from the observer. The sighting took place during the dry season."
202,Indian Star Tortoise,Geochelone elegans,"Field observers logged a lone Indian Star Tortoise resting motionless beneath a small shrub along the perimeter fence of a nature reserve around midday. The sighting occurred at close range, barely ten meters away. The sighting took place in the middle of winter."
203,Indian Star Tortoise,Geochelone elegans,Field observers logged a solitary Indian Star Tortoise spotted near a dry streambed after light rain at the base of a rocky outcrop just before sunset. The sighting took place in early spring.
204,Indian Star Tortoise,Geochelone elegans,An Indian Star Tortoise was observed on the fringes of a wetland at dusk as shadows lengthened. The animal passed within a few meters of the parked vehicle.
205,Indian Star Tortoise,Geochelone elegans,An adult Indian Star Tortoise was observed along the perimeter fence of a nature reserve just before sunset. It was observed through binoculars from a considerable distance.
206,Indian Star Tortoise,Geochelone elegans,"The Indian Star Tortoise was seen resting motionless beneath a small shrub near a cluster of banyan trees, under a hazy monsoon sky. The animal was spotted around thirty meters from the observer. The sighting took place as summer temperatures rose."
207,Indian Star Tortoise,Geochelone elegans,Field observers logged a small dome-shelled tortoise found tucked into its shell beside a rock beside a bamboo thicket well after nightfall. The observer watched quietly from behind a tree for several minutes.
208,Indian Star Tortoise,Geochelone elegans,"A slow-moving patterned tortoise was spotted in an open meadow between two forest blocks just after sunrise, during a light drizzle. It was noticed only briefly before vanishing into cover."
209,Indian Star Tortoise,Geochelone elegans,"During a routine survey, a small dome-shelled tortoise was recorded near the banks of a river in the cool hours before dawn. It was noticed only briefly before vanishing into cover."
210,Indian Star Tortoise,Geochelone elegans,"During a routine survey, the Indian Star Tortoise was recorded inside a dry deciduous forest patch just before sunset. The animal passed within a few meters of the parked vehicle."
211,Indian Peafowl,Pavo cristatus,"An adult Indian Peafowl was observed along a mud embankment by a pond around midday, under a hazy monsoon sky. The sighting occurred at close range, barely ten meters away. The sighting took place in the middle of winter."
212,Indian Peafowl,Pavo cristatus,"A bird with iridescent tail feathers appeared beside a dirt road through farmland, flying in a small flock over the treetops. It was observed through binoculars from a considerable distance. The sighting took place at the start of the monsoon."
213,Indian Peafowl,Pavo cristatus,"A bird with iridescent tail feathers was observed close to a tea garden boundary just before sunset, during a light drizzle. It was observed through binoculars from a considerable distance."
214,Indian Peafowl,Pavo cristatus,"An adult Indian Peafowl was spotted inside a dry deciduous forest patch in the late afternoon light, on a misty morning. It was noticed only briefly before vanishing into cover. The sighting took place in early spring."
215,Indian Peafowl,Pavo cristatus,"Local residents reported the Indian Peafowl seen bathing in a shallow puddle after rain along the edge of a dense forest around midday, during a light drizzle."
216,Indian Peafowl,Pavo cristatus,A large ornamental bird was observed beside a bamboo thicket just before sunset. It was observed through binoculars from a considerable distance.
217,Indian Peafowl,Pavo cristatus,"During a routine survey, the Indian Peafowl was recorded near a canal running through fields during the heat of midday. The sighting occurred at close range, barely ten meters away."
218,Indian Peafowl,Pavo cristatus,"An Indian Peafowl appeared near a seasonal waterhole, perched on a telephone wire near farmland. The animal passed within a few meters of the parked vehicle."
219,Indian Peafowl,Pavo cristatus,"The Indian Peafowl was spotted near a cluster of banyan trees in the cool hours before dawn, after a brief spell of rain. It was noticed only briefly before vanishing into cover."
220,Indian Peafowl,Pavo cristatus,"The Indian Peafowl was briefly sighted along the edge of a dense forest before seen feeding on insects stirred up by grazing cattle. The sighting occurred at close range, barely ten meters away."
221,Common Myna,Acridotheres tristis,"During a routine survey, a noisy medium-sized bird was recorded inside a dry deciduous forest patch just after sunrise."
222,Common Myna,Acridotheres tristis,"Local residents reported a lone Common Myna calling repeatedly from a high branch near a seasonal waterhole as the evening light faded, on a clear, sunny day. It was noticed only briefly before vanishing into cover. The sighting took place in early spring."
223,Common Myna,Acridotheres tristis,"A Common Myna was seen seen bathing in a shallow puddle after rain on a plateau covered in scrub vegetation, during a light drizzle. The animal passed within a few meters of the parked vehicle."
224,Common Myna,Acridotheres tristis,"A lone Common Myna was spotted on the fringes of a wetland as the evening light faded, on a warm, humid afternoon."
225,Common Myna,Acridotheres tristis,"Local residents reported a dark-headed garden bird flying in a small flock over the treetops on the fringes of a wetland well after nightfall, as fog still clung to the ground. It was observed through binoculars from a considerable distance."
226,Common Myna,Acridotheres tristis,"An adult Common Myna was seen perched quietly on a rooftop antenna beside a dirt road through farmland, on a dry, dusty afternoon. It was seen from a safe distance of roughly fifty meters. The sighting took place as summer temperatures rose."
227,Common Myna,Acridotheres tristis,"An adult Common Myna appeared near a cluster of banyan trees, displaying its feathers near the edge of a clearing. The sighting occurred at close range, barely ten meters away. The sighting took place in the middle of winter."
228,Common Myna,Acridotheres tristis,"A dark-headed garden bird was observed at the edge of a grassland clearing as the evening light faded, on a dry, dusty afternoon."
229,Common Myna,Acridotheres tristis,"A solitary Common Myna was spotted close to a paddy field around midday, under a hazy monsoon sky. The animal was spotted around thirty meters from the observer."
230,Common Myna,Acridotheres tristis,"A lone Common Myna was seen foraging on the ground beneath a tree in an open meadow between two forest blocks, under a hazy monsoon sky. It was observed through binoculars from a considerable distance. The sighting took place as summer temperatures rose."
231,Rose-ringed Parakeet,Psittacula krameri,"The Rose-ringed Parakeet was seen seen bathing in a shallow puddle after rain near a temple compound surrounded by trees, on a cool, breezy evening. The observer watched quietly from behind a tree for several minutes."
232,Rose-ringed Parakeet,Psittacula krameri,"An adult Rose-ringed Parakeet was noticed close to a paddy field, perched quietly on a rooftop antenna at dusk as shadows lengthened. The observer watched quietly from behind a tree for several minutes."
233,Rose-ringed Parakeet,Psittacula krameri,The Rose-ringed Parakeet was briefly sighted along the edge of a dense forest before flying in a small flock over the treetops. The observer watched quietly from behind a tree for several minutes.
234,Rose-ringed Parakeet,Psittacula krameri,A bright green parrot was briefly sighted on a plateau covered in scrub vegetation before foraging on the ground beneath a tree. It was seen from a safe distance of roughly fifty meters.
235,Rose-ringed Parakeet,Psittacula krameri,Field observers logged a Rose-ringed Parakeet perched on a fence post overlooking a field inside a dry deciduous forest patch in the late afternoon light. The animal was spotted around thirty meters from the observer.
236,Rose-ringed Parakeet,Psittacula krameri,"A Rose-ringed Parakeet was observed inside a dry deciduous forest patch just after sunrise, under a hazy monsoon sky. It was observed through binoculars from a considerable distance."
237,Rose-ringed Parakeet,Psittacula krameri,"During a routine survey, the Rose-ringed Parakeet was recorded near a cluster of banyan trees just before sunset. It was noticed only briefly before vanishing into cover."
238,Rose-ringed Parakeet,Psittacula krameri,Field observers logged a flock of green birds foraging on the ground beneath a tree near a cluster of banyan trees in the late afternoon light. The animal was spotted around thirty meters from the observer.
239,Rose-ringed Parakeet,Psittacula krameri,A bright green parrot was briefly sighted near an irrigation tank before flying in a small flock over the treetops. It was noticed only briefly before vanishing into cover.
240,Rose-ringed Parakeet,Psittacula krameri,"A lone Rose-ringed Parakeet appeared close to a tea garden boundary, foraging on the ground beneath a tree. The observer watched quietly from behind a tree for several minutes. The sighting took place at the start of the monsoon."
241,Indian Roller,Coracias benghalensis,"A citizen-science volunteer photographed a solitary Indian Roller inside a dry deciduous forest patch, on a warm, humid afternoon."
242,Indian Roller,Coracias benghalensis,"An Indian Roller was seen foraging on the ground beneath a tree along a narrow forest track, on a misty morning. The animal was spotted around thirty meters from the observer."
243,Indian Roller,Coracias benghalensis,A citizen-science volunteer photographed a blue-winged bird near a temple compound surrounded by trees. The sighting took place at the start of the monsoon.
244,Indian Roller,Coracias benghalensis,"Local residents reported an Indian Roller flying in a small flock over the treetops at the edge of a grassland clearing in the late afternoon light, under overcast skies. It was observed through binoculars from a considerable distance."
245,Indian Roller,Coracias benghalensis,"A bird with flashing blue plumage appeared close to a forest checkpoint, foraging on the ground beneath a tree. The animal passed within a few meters of the parked vehicle."
246,Indian Roller,Coracias benghalensis,"A solitary Indian Roller was observed on the outskirts of a small village in the cool hours before dawn, on a cool, breezy evening. It was noticed only briefly before vanishing into cover."
247,Indian Roller,Coracias benghalensis,"The Indian Roller was noticed in an open meadow between two forest blocks, perched quietly on a rooftop antenna during the heat of midday. The observer watched quietly from behind a tree for several minutes. The sighting took place in the middle of winter."
248,Indian Roller,Coracias benghalensis,"A blue-winged bird was spotted close to a forest checkpoint as the evening light faded, on a warm, humid afternoon. It was noticed only briefly before vanishing into cover."
249,Indian Roller,Coracias benghalensis,"A solitary Indian Roller appeared on a plateau covered in scrub vegetation, displaying its feathers near the edge of a clearing."
250,Indian Roller,Coracias benghalensis,"Local residents reported an Indian Roller calling repeatedly from a high branch near a cluster of banyan trees just after sunrise, under overcast skies. The observer watched quietly from behind a tree for several minutes. The sighting took place at the start of the monsoon."
